Iteration,episode_reward_mean,episode_reward_min,episode_reward_max,episode_len_means
1,18.984848484848484,18.0,19.0,29.772727272727273
2,19.0,19.0,19.0,32.3
3,19.0,19.0,19.0,32.99180327868852
4,19.0,19.0,19.0,34.0
5,18.99,18.0,19.0,36.33
6,18.99,18.0,19.0,40.44
7,19.0,19.0,19.0,45.29
8,19.0,19.0,19.0,49.09
9,18.99,18.0,19.0,48.98
10,18.99,18.0,19.0,46.19
11,19.0,19.0,19.0,44.5
12,18.81,0.0,19.0,42.56
13,18.81,0.0,19.0,42.77
14,18.78,0.0,19.0,44.13
15,18.96,18.0,19.0,48.68
16,18.95,18.0,19.0,54.53
17,18.96,18.0,19.0,59.37
18,18.64,0.0,19.0,58.61
19,18.62,0.0,19.0,59.68
20,18.2,0.0,19.0,59.07
21,18.33,0.0,19.0,64.83
22,18.32,0.0,19.0,64.98
23,18.68,0.0,19.0,65.5
24,18.45,0.0,19.0,61.89
25,18.43,0.0,19.0,62.46
